observableId	simulationConditionId	time	measurement
obs_a	c_0	0.0	0.75
obs_a	c_0	11.11111111111111	0.58357992331639
obs_a	c_0	22.22222222222222	0.4521740435060412
obs_a	c_0	33.33333333333333	0.3474379802520363
obs_a	c_0	44.44444444444444	0.26412946776326296
obs_a	c_0	55.55555555555556	0.1980699651213119
obs_a	c_0	66.66666666666666	0.1459373075001536
obs_a	c_0	77.77777777777777	0.10509996036876113
obs_a	c_0	88.88888888888889	0.07348222865326841
obs_a	c_0	100.0	0.04944964453990876
obs_b	c_0	0.0	2.25
obs_b	c_0	11.11111111111111	2.212062505744311
obs_b	c_0	22.22222222222222	2.1758772083320763
obs_b	c_0	33.33333333333333	2.137355576889767
obs_b	c_0	44.44444444444444	2.0958548134285158
obs_b	c_0	55.55555555555556	2.050566995992145
obs_b	c_0	66.66666666666666	2.0004802079156097
obs_b	c_0	77.77777777777777	1.944342105601309
obs_b	c_0	88.88888888888889	1.880647123449247
obs_b	c_0	100.0	1.8076975032381284
obs_a	c_1	0.0	1.5
obs_a	c_1	11.11111111111111	1.189565325448699
obs_a	c_1	22.22222222222222	0.9419998901501755
obs_a	c_1	33.33333333333333	0.7439527706503206
obs_a	c_1	44.44444444444444	0.5855712758343873
obs_a	c_1	55.55555555555556	0.4589696551065201
obs_a	c_1	66.66666666666666	0.3578384346550641
obs_a	c_1	77.77777777777777	0.27713145880561485
obs_a	c_1	88.88888888888889	0.2128156486399223
obs_a	c_1	100.0	0.16167140975893302
obs_b	c_1	0.0	1.5
obs_b	c_1	11.11111111111111	1.4796005574268194
obs_b	c_1	22.22222222222222	1.460592373688902
obs_b	c_1	33.33333333333333	1.4411939688311235
obs_b	c_1	44.44444444444444	1.4212710460324396
obs_b	c_1	55.55555555555556	1.4006573416357226
obs_b	c_1	66.66666666666666	1.379146299481783
obs_b	c_1	77.77777777777777	1.3564804530816668
obs_b	c_1	88.88888888888889	1.3323379219115559
obs_b	c_1	100.0	1.3063155420454562
obs_a	c_2	0.0	2.25
obs_a	c_2	11.11111111111111	1.7958830810992374
obs_a	c_2	22.22222222222222	1.432688931107843
obs_a	c_2	33.33333333333333	1.1419371994480354
obs_a	c_2	44.44444444444444	0.9091948631710479
obs_a	c_2	55.55555555555556	0.7229053139103866
obs_a	c_2	66.66666666666666	0.5738157960122641
obs_a	c_2	77.77777777777777	0.45451813869539404
obs_a	c_2	88.88888888888889	0.3590812034884604
obs_a	c_2	100.0	0.28275758491707453
obs_b	c_2	0.0	0.75
obs_b	c_2	11.11111111111111	0.7406868664525388
obs_b	c_2	22.22222222222222	0.7320566151173397
obs_b	c_2	33.33333333333333	0.7234223718075301
obs_b	c_2	44.44444444444444	0.7147618737455212
obs_b	c_2	55.55555555555556	0.7060480122550694
obs_b	c_2	66.66666666666666	0.6972476846069188
obs_b	c_2	77.77777777777777	0.6883203528841866
obs_b	c_2	88.88888888888889	0.6792162472389961
obs_b	c_2	100.0	0.669874085383317
